    cm-1  microns   25%       38%       50%       75%       84.5%     95.6%
   3400.   2.941    2.18E-01  1.84E-01  1.54E-01  8.60E-02  5.30E-02  3.00E-02
   3430.   2.915    2.19E-01  1.85E-01  1.53E-01  8.20E-02  4.50E-02  2.20E-02
   3470.   2.882    2.06E-01  1.76E-01  1.47E-01  7.30E-02  3.40E-02  1.20E-02
   3520.   2.841    1.74E-01  1.50E-01  1.25E-01  5.60E-02  2.20E-02  0.00E+00
   3530.   2.833    1.66E-01  1.44E-01  1.19E-01  5.20E-02  1.90E-02  0.00E+00
   3610.   2.770    8.90E-02  7.70E-02  6.20E-02  2.30E-02  0.00E+00  0.00E+00
   3620.   2.762    7.90E-02  6.80E-02  5.40E-02  1.90E-02  0.00E+00  0.00E+00
   3670.   2.725    3.10E-02  2.50E-02  2.20E-02  6.00E-03  0.00E+00  0.00E+00
   3720.   2.688    0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
   3800.   2.632    0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
   3900.   2.564    0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
   4000.   2.500    0.00E+00  0.00E+00  0.00E+00  3.76E-03  3.38E-03  2.11E-03
   4100.   2.439    0.00E+00  0.00E+00  0.00E+00  2.97E-03  2.79E-03  1.86E-03
   4200.   2.381    0.00E+00  0.00E+00  0.00E+00  2.41E-03  2.43E-03  1.71E-03
   4300.   2.326    0.00E+00  0.00E+00  0.00E+00  2.09E-03  2.13E-03  1.62E-03
   4400.   2.273    0.00E+00  0.00E+00  0.00E+00  1.86E-03  1.94E-03  1.41E-03
   4500.   2.222    0.00E+00  0.00E+00  0.00E+00  1.67E-03  1.69E-03  1.29E-03
   4600.   2.174    0.00E+00  0.00E+00  0.00E+00  1.54E-03  1.56E-03  1.15E-03
   4700.   2.128    0.00E+00  0.00E+00  0.00E+00  1.43E-03  1.44E-03  1.02E-03
   4800.   2.083    0.00E+00  0.00E+00  0.00E+00  1.35E-03  1.34E-03  9.47E-04
   4900.   2.041    0.00E+00  0.00E+00  0.00E+00  1.30E-03  1.28E-03  8.93E-04
   5000.   2.000    0.00E+00  0.00E+00  0.00E+00  1.26E-03  1.19E-03  8.37E-04
   5100.   1.961    0.00E+00  0.00E+00  0.00E+00  1.24E-03  1.10E-03  7.41E-04
   5200.   1.923    0.00E+00  0.00E+00  0.00E+00  1.11E-03  9.61E-04  6.58E-04
   5300.   1.887    0.00E+00  0.00E+00  0.00E+00  7.96E-04  7.58E-04  5.86E-04
   5400.   1.852    0.00E+00  0.00E+00  0.00E+00  5.95E-04  6.26E-04  5.33E-04
   5500.   1.818    2.50E-04  0.00E+00  0.00E+00  5.37E-04  5.66E-04  4.93E-04
   5600.   1.786    2.37E-04  2.87E-04  0.00E+00  4.86E-04  4.99E-04  4.52E-04
   5700.   1.754    2.09E-04  2.68E-04  3.00E-04  4.24E-04  4.44E-04  4.02E-04
   5800.   1.724    1.87E-04  2.37E-04  2.65E-04  3.61E-04  3.76E-04  3.48E-04
