#optical constants for S8 aerosols, 0.1 um radius
#k, w and g from Kerber++ (2015), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
1.8241898202e+01 3.6231884058e-02 1.7235906761e-01 0.0000000000e+00
1.8372203761e+01 3.6231884058e-02 1.3936210664e-01 0.0000000000e+00
1.8644673126e+01 3.6231884058e-02 7.0365349645e-02 0.0000000000e+00
1.8669367593e+01 3.6231884058e-02 1.2721661983e-01 0.0000000000e+00
1.8674984532e+01 3.6231884058e-02 9.8874344369e-02 0.0000000000e+00
2.0131427121e+01 3.6231884058e-02 5.5296034764e-02 0.0000000000e+00
2.0195765604e+01 3.6231884058e-02 9.3569184989e-03 0.0000000000e+00
2.0346689503e+01 3.6231884058e-02 8.5071912713e-02 0.0000000000e+00
2.0500876473e+01 3.6231884058e-02 7.7160931804e-02 0.0000000000e+00
2.1500330524e+01 3.6231884058e-02 2.5881229221e-02 0.0000000000e+00
2.2521698631e+01 3.6231884058e-02 6.7788841272e-03 0.0000000000e+00
2.2876185220e+01 3.6231884058e-02 6.6110368468e-03 0.0000000000e+00
2.5062821969e+01 3.6231884058e-02 5.5756774223e-03 0.0000000000e+00
2.5526706184e+01 3.6231884058e-02 5.8842620679e-03 0.0000000000e+00
2.7954626818e+01 3.6231884058e-02 7.4993612768e-03 0.0000000000e+00
2.8484326488e+01 3.6231884058e-02 7.4045866800e-03 0.0000000000e+00
3.1180094623e+01 3.6231884058e-02 6.9222561205e-03 0.0000000000e+00
3.1784627818e+01 3.6231884058e-02 6.4373823732e-03 0.0000000000e+00
3.4777724168e+01 3.6231884058e-02 4.0367303386e-03 0.0000000000e+00
3.5467314487e+01 3.6231884058e-02 3.3920873017e-03 0.0000000000e+00
3.8790456314e+01 3.6231884058e-02 2.8554682216e-04 0.0000000000e+00
3.9576691102e+01 3.6231884058e-02 2.3714254246e-04 0.0000000000e+00
4.3266186532e+01 3.6231884058e-02 1.0000000000e-05 0.0000000000e+00
4.4162195566e+01 3.6231884058e-02 1.0000000000e-05 0.0000000000e+00
4.8258336583e+01 3.6231884058e-02 1.0000000000e-05 0.0000000000e+00
4.8790306163e+01 3.6231884058e-02 1.9648030822e-04 0.0000000000e+00
5.3826492152e+01 3.6231884058e-02 1.9618998954e-03 0.0000000000e+00
5.7342644228e+01 3.6231884058e-02 1.3940139971e-03 0.0000000000e+00
6.0037114051e+01 3.6231884058e-02 9.5883617127e-04 0.0000000000e+00
6.3860796572e+01 3.6231884058e-02 9.5883617127e-04 0.0000000000e+00
6.4357408062e+01 3.6231884058e-02 9.5883617127e-04 0.0000000000e+00
7.1259948941e+01 3.6231884058e-02 9.5883617127e-04 0.0000000000e+00
7.7174143137e+01 3.6231884058e-02 9.5883617127e-04 0.0000000000e+00
