#optical constants for H2SO4 aerosols, 1 um radius
#k and w from Kerber ++ (2015), g for VIS from Kerber++ (2015) and rest from PSG (hri_volcanic_afcrl_h2so4_215k), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
9.5000000000e+00 1.1024321667e+00 1.9927810552e-01 2.2982590000e-01
9.5533351567e+00 1.1042645989e+00 1.9691052602e-01 2.3888332965e-01
9.6776587909e+00 1.1085359773e+00 2.3277006148e-01 2.5999609353e-01
9.7096280251e+00 1.0095470445e+00 2.4199117132e-01 2.6542514085e-01
9.7585057216e+00 8.5820306840e-01 2.5464937095e-01 2.7372560015e-01
9.8000000000e+00 8.0421763798e-01 2.6539543505e-01 2.8077220000e-01
9.8185090053e+00 7.8013680909e-01 2.7018884188e-01 2.8236144798e-01
9.8830065173e+00 7.3836831229e-01 2.8689221461e-01 2.8789943010e-01
9.9396246893e+00 7.0170246483e-01 2.9291257081e-01 2.9276086451e-01
1.0000000000e+01 6.7000928535e-01 2.9933243326e-01 2.9794490000e-01
1.0121002687e+01 6.0649060822e-01 3.1219896091e-01 2.9070570441e-01
1.0194879429e+01 5.7704566758e-01 3.2005446541e-01 2.8628590016e-01
1.0322851912e+01 5.2603987012e-01 2.4523983368e-01 2.7862972441e-01
1.0355681239e+01 5.3386063168e-01 2.2604731698e-01 2.7666565298e-01
1.0591000000e+01 5.8991940841e-01 2.5232309362e-01 2.6258730000e-01
1.0728909049e+01 6.2277277103e-01 2.6772206713e-01 2.5055802306e-01
1.1000000000e+01 6.8735337252e-01 2.1687984957e-01 2.2691180000e-01
1.1021670858e+01 6.9251590954e-01 2.1281555125e-01 2.2848588014e-01
1.1058200408e+01 6.6957784244e-01 2.0596455425e-01 2.3113923317e-01
1.1128353906e+01 6.2552622724e-01 2.1655215358e-01 2.3623488864e-01
1.1167403241e+01 5.4702137970e-01 2.2244549780e-01 2.3907126833e-01
1.1247393924e+01 5.1944720381e-01 2.3451772975e-01 2.4488145558e-01
1.1273750803e+01 5.1036153031e-01 2.9804474840e-01 2.4679590860e-01
1.1369138991e+01 4.7747956758e-01 3.2508100409e-01 2.5372450590e-01
1.1381158863e+01 4.7367714186e-01 3.2848784451e-01 2.5459757892e-01
1.1500000000e+01 4.3608234899e-01 2.8535105401e-01 2.6322970000e-01
1.1536018839e+01 4.2468797128e-01 2.7227698585e-01 2.6159829150e-01
1.1590296826e+01 4.0751740468e-01 2.8458529746e-01 2.5913986780e-01
1.1971671504e+01 3.3740033740e-01 3.7106747312e-01 2.4186618824e-01
1.2030375302e+01 3.2660743889e-01 3.7352276557e-01 2.3920730536e-01
1.2325649442e+01 3.0694898828e-01 3.8587263701e-01 2.2583339471e-01
1.2500000000e+01 2.9534126046e-01 3.6738976332e-01 2.1793650000e-01
1.2726828468e+01 2.8023971363e-01 3.4334371513e-01 2.1121679736e-01
1.2877232304e+01 2.7022628547e-01 3.6834330412e-01 2.0676114388e-01
1.2934741483e+01 2.6639749993e-01 3.5779331856e-01 2.0505745745e-01
1.3000000000e+01 2.6597680087e-01 3.4582172692e-01 2.0312420000e-01
1.3191522577e+01 2.6474212114e-01 3.1068715451e-01 1.9752685694e-01
1.3566811687e+01 2.6232276220e-01 2.8424146184e-01 1.8655884505e-01
1.3880652957e+01 2.6029953621e-01 2.5250981709e-01 1.7738667700e-01
1.4000000000e+01 2.5953014715e-01 2.4449712028e-01 1.7389870000e-01
1.4342018494e+01 2.5732527236e-01 2.2153475412e-01 1.6369987951e-01
1.4509012034e+01 2.5624872283e-01 2.0965875228e-01 1.5872021565e-01
1.4767583484e+01 2.7158412520e-01 1.9127004685e-01 1.5100974431e-01
1.4800000000e+01 2.7350668982e-01 1.8821223449e-01 1.5004310000e-01
1.5000000000e+01 2.8536832604e-01 1.6934646661e-01 1.4535670000e-01
1.5073675951e+01 2.8973791269e-01 1.6239669966e-01 1.4385354746e-01
1.5423554947e+01 3.1048859958e-01 1.3423855518e-01 1.3671524120e-01
1.5778799172e+01 3.3155748839e-01 1.0810843403e-01 1.2946747241e-01
1.5798120498e+01 3.3270340112e-01 1.0762178225e-01 1.2907327457e-01
1.6400000000e+01 3.9728991523e-01 9.2462070903e-02 1.1679360000e-01
1.6543457539e+01 4.1268406367e-01 8.8848764782e-02 1.1753794738e-01
1.6563394742e+01 4.1482348591e-01 8.9482138162e-02 1.1764139404e-01
1.6875269454e+01 4.7207894953e-01 9.9389904505e-02 1.1925959497e-01
1.7200000000e+01 4.1657117487e-01 1.0970608032e-01 1.2094450000e-01
1.7562900183e+01 3.5453887806e-01 1.2123484514e-01 1.3672920636e-01
1.7641733571e+01 3.4106350283e-01 1.2521951581e-01 1.4015814341e-01
1.7917661522e+01 2.5298511038e-01 1.3916642383e-01 1.5215990557e-01
1.8000000000e+01 2.5005974828e-01 1.4332826090e-01 1.5574130000e-01
1.8262663668e+01 2.4072770379e-01 1.5660471949e-01 1.4481449142e-01
1.8500000000e+01 2.3229550140e-01 1.6359716885e-01 1.3494130000e-01
1.8941983076e+01 2.1659250844e-01 1.7661896055e-01 1.2628408910e-01
1.9532004527e+01 1.9562993498e-01 1.6506458512e-01 1.1472722092e-01
2.0000000000e+01 1.9736588906e-01 1.5589984141e-01 1.0556050000e-01
2.0395298421e+01 1.9883218510e-01 1.4815872226e-01 9.9862553015e-02
2.1004340940e+01 2.0109133057e-01 1.1531577531e-01 9.1083636120e-02
2.1300000000e+01 2.0218803039e-01 1.1354967078e-01 8.6821920000e-02
2.1631758375e+01 2.0341863484e-01 1.1156792880e-01 8.6351085749e-02
2.2420164825e+01 1.7109933623e-01 1.0685842253e-01 8.5232172746e-02
2.2500000000e+01 1.6782663741e-01 1.0758595257e-01 8.5118870000e-02
2.3334685624e+01 1.3361020763e-01 1.1519236006e-01 8.1221018347e-02
2.4600859020e+01 1.2754731109e-01 1.2673087292e-01 7.5308186112e-02
2.5000000000e+01 1.2563607960e-01 1.2670730566e-01 7.3444260000e-02
2.6080822167e+01 1.2046071184e-01 1.2664348859e-01 7.3444260000e-02
2.6220895310e+01 1.2047574739e-01 1.2663521798e-01 7.3444260000e-02
2.6648147301e+01 1.2052160892e-01 9.5915584547e-02 7.3444260000e-02
2.7832968342e+01 1.2064878846e-01 6.5451284481e-02 7.3444260000e-02
2.9141948277e+01 1.2078929531e-01 5.1532138821e-02 7.3444260000e-02
2.9857306423e+01 1.2711722582e-01 4.3925319221e-02 7.3444260000e-02
3.1802694889e+01 1.4432578507e-01 3.2979985645e-02 7.3444260000e-02
3.2304064481e+01 1.4876081102e-01 3.1767630095e-02 7.3444260000e-02
3.4629270148e+01 1.7876565032e-01 2.6145079308e-02 7.3444260000e-02
3.5697135437e+01 1.9254556099e-01 2.4610574149e-02 7.3444260000e-02
3.6678815978e+01 1.8773965671e-01 2.3199915081e-02 7.3444260000e-02
3.9687319775e+01 1.7301125914e-01 2.3501733905e-02 7.3444260000e-02
4.0486986672e+01 1.7159108760e-01 2.3581958010e-02 7.3444260000e-02
4.4331429469e+01 1.6476353445e-01 1.9004736626e-02 7.3444260000e-02
4.8140504380e+01 1.5799879302e-01 1.8395541796e-02 7.3444260000e-02
5.0493915751e+01 1.5381924294e-01 1.7055994298e-02 7.3444260000e-02
5.0830217123e+01 1.5381924294e-01 1.6864573595e-02 7.3444260000e-02
